Taxa	BMI change per day (kg/m2)_All	BMI change per day (kg/m2)_CEED	BMI change per day (kg/m2)_ACUTE
Alistipes shahii	0.279463980240543	0.999988768866776	0.0207573736593346
Alistipes sp. dk3624	0.415501154261891	0.999988768866776	0.0499655284640522
Alkalilimnicola ehrlichii	0.0337091795090393	0.999988768866776	0.00835684396473037
Alkaliphilus metalliredigens	0.67799974456837	0.999988768866776	0.72947209595753
Alkaliphilus oremlandii	0.765946480171175	0.999988768866776	0.674577526542047
Alkalitalea saponilacus	0.867530080882638	0.999988768866776	0.994412228953867
Alloactinosynnema sp. L-07	0.469374187294755	0.999988768866776	0.259258020162372
Allochromatium vinosum	0.0826982407499382	0.999988768866776	0.0230426390914225
Allofrancisella guangzhouensis	0.847258163109988	0.999988768866776	0.98529665524865
Allokutzneria albata	0.215560726089947	0.999988768866776	0.113882425145243
Alloprevotella sp. E39	0.0632038749425135	0.999988768866776	0.0161276068057045
Allopseudarcicella aquatilis	0.852475858736106	0.999988768866776	0.873077175378186
Altererythrobacter atlanticus	0.0516190831583961	0.999988768866776	0.0297687005597377
Altererythrobacter dongtanensis	0.245366119070139	0.999988768866776	0.0528995511815289
Altererythrobacter epoxidivorans	0.609895740285873	0.999988768866776	0.421458365545669
Altererythrobacter ishigakiensis	0.213506195649504	0.999988768866776	0.109185772963699
Altererythrobacter mangrovi	0.0595848759598372	0.999988768866776	0.00908683782863967
Altererythrobacter marensis	0.808015744471957	0.999988768866776	0.553306335736831
Altererythrobacter namhicola	0.031447186605687	0.999988768866776	0.00793243963426738
Altererythrobacter sp. B11	0.308125234684912	0.999988768866776	0.137475722075474
Altererythrobacter sp. BO-6	0.0555497884394761	0.999988768866776	0.0220367404324354
Altererythrobacter sp. NS1	0.0395055692210669	0.999988768866776	0.00780964139601698
Altererythrobacter sp. TH136	0.0535175217418752	0.999988768866776	0.0260110558624589
Altererythrobacter sp. ZODW24	0.355363020532267	0.999988768866776	0.231226010010507
Alteromonas australica	0.231130259509992	0.999988768866776	0.348491349438573
Alteromonas macleodii	0.524563699045699	0.999988768866776	0.468855504346571
Alteromonas mediterranea	0.815964839343447	0.999988768866776	0.649498027001365
Alteromonas sp. 76-1	0.751241800233703	0.999988768866776	0.766441828435456
Alteromonas sp. BL110	0.458041783108363	0.999988768866776	0.10781158003278
Alteromonas sp. I4	0.968430392792849	0.999988768866776	0.96978043354275
Alteromonas sp. RKMC-009	0.748089682774088	0.999988768866776	0.837677179105209
Aminipila butyrica	0.46147417415515	0.999988768866776	0.37356426444836
Aminipila sp. CBA3637	0.717940141101496	0.999988768866776	0.676095932620841
Aminipila sp. JN-18	0.704270077968375	0.999988768866776	0.55370408920158
Aminobacter aminovorans	0.122423262689791	0.999988768866776	0.0263267761690917
Aminobacter sp. MSH1	0.0996935345881273	0.999988768866776	0.0564400737222785
Aminobacterium colombiense	0.351921290019386	0.999988768866776	0.141026400770746
Aminomonas paucivorans	0.0367690378694889	0.999988768866776	0.0102313422755857
Ammonifex degensii	0.0339538486561077	0.999988768866776	0.00793243963426738
Amphibacillus xylanus	0.847784956686622	0.999988768866776	0.713894643661358
Amycolatopsis albispora	0.0395055692210669	0.999988768866776	0.00813739873431396
Amycolatopsis japonica	0.423870604517596	0.999988768866776	0.101854448776561
Amycolatopsis keratiniphila	0.0362713137855213	0.999988768866776	0.00644162771365424
Amycolatopsis mediterranei	0.0809114870573415	0.999988768866776	0.0313933705048492
Amycolatopsis methanolica	0.0389464536579446	0.999988768866776	0.0069019177240968
Amycolatopsis orientalis	0.0988944945283525	0.999988768866776	0.0288488578401906
Amycolatopsis sp. AA4	0.253075696797069	0.999988768866776	0.19903975317884
Amycolatopsis sp. BJA-103	0.0512829180126799	0.999988768866776	0.0274527083123714
Amycolatopsis sp. YIM 10	0.0600710800874395	0.999988768866776	0.0218720323074382
Anabaena cylindrica	0.390769782525624	0.999988768866776	0.618130683805365
Anabaena sp. WA102	0.773707617345411	0.999988768866776	0.90448877596675
Anabaenopsis circularis	0.91195081719321	0.999988768866776	0.915667796410918
Anaerobutyricum hallii	0.882578263320863	0.999988768866776	0.888934827929768
Anaerococcus mediterraneensis	0.953032758345211	0.999988768866776	0.685506390612292
Anaerococcus prevotii	0.701245534719532	0.999988768866776	0.535095602153615
Anaerocolumna sp. CBA3638	0.34297983585401	0.999988768866776	0.306002179198912
Anaerohalosphaera lusitana	0.630214832146385	0.999988768866776	0.344149747265549
Anaerolinea thermophila	0.3409664296535	0.999988768866776	0.118489737823468
Anaerolineaceae bacterium oral taxon 439	0.0428275323032813	0.999988768866776	0.0136929419553439
Anaeromyxobacter dehalogenans	0.363515942479919	0.999988768866776	0.231041722140188
Anaeromyxobacter sp. Fw109-5	0.0577165644407984	0.999988768866776	0.0102313422755857
Anaeromyxobacter sp. K	0.110626312623246	0.999988768866776	0.0224988827925877
Anaerostipes hadrus	0.669524745786508	0.999988768866776	0.809231794595646
Anaerostipes rhamnosivorans	0.950048909423541	0.999988768866776	0.829182513679589
Anaerotignum propionicum	0.732051698380599	0.999988768866776	0.579803500767175
Ancylobacter pratisalsi	0.166425318381407	0.999988768866776	0.0783062259766501
Ancylobacter sp. TS-1	0.0444372536251818	0.999988768866776	0.010895336199342
Aneurinibacillus soli	0.960586807926324	0.999988768866776	0.91984708057869
Aneurinibacillus sp. XH2	0.833442092509249	0.999988768866776	0.797590992026568
Anoxybacillus amylolyticus	0.744864636102798	0.999988768866776	0.639581249705297
Anoxybacillus flavithermus	0.69009533248709	0.999988768866776	0.960658048745018
Anoxybacter fermentans	0.843124552566371	0.999988768866776	0.82293625742544
Anseongella ginsenosidimutans	0.760004776726799	0.999988768866776	0.490663684435141
Antarcticibacterium flavum	0.999044796964562	0.999988768866776	0.825772991566128
Antarcticibacterium sp. PAMC 28998	0.717634584872898	0.999988768866776	0.730485124650314
Antarctobacter heliothermus	0.100170595783648	0.999988768866776	0.0334359407904969
Apibacter sp. B2966	0.770483300001229	0.999988768866776	0.741346102137001
Apibacter sp. B3706	0.510324669675946	0.999988768866776	0.652521696103645
Apibacter sp. HY041	0.713030225859535	0.999988768866776	0.490197777042345
Aquabacterium olei	0.117095088613842	0.999988768866776	0.0870425285203745
Aquaspirillum sp. LM1	0.0423670697831906	0.999988768866776	0.0114162905956682
Aquicella lusitana	0.822052192828899	0.999988768866776	0.851645449276417
Aquicella siphonis	0.167619212984957	0.999988768866776	0.116377838797229
Aquifex aeolicus	0.153523806151549	0.999988768866776	0.131820108371445
Aquiflexum balticum	0.482159060273831	0.999988768866776	0.195115604571727
Aquimarina sp. AD1	0.161608014106844	0.999988768866776	0.301986415209877
Aquimarina sp. AD10	0.422352113957818	0.999988768866776	0.689784895409194
Aquimarina sp. BL5	0.371076370529364	0.999988768866776	0.443140409949583
Aquisphaera giovannonii	0.0412843042584321	0.999988768866776	0.00744120590280535
Aquitalea denitrificans	0.0481436515667013	0.999988768866776	0.0144915243296238
Aquitalea magnusonii	0.480429107641401	0.999988768866776	0.338197607827671
Aquitalea sp. THG-DN7.12	0.160095310351139	0.999988768866776	0.0481678901461144
Aquitalea sp. USM4	0.18888378281051	0.999988768866776	0.116906160074718
Arabia massiliensis	0.576282589008008	0.999988768866776	0.265501769447227
Arachidicoccus ginsenosidivorans	0.352651251228101	0.999988768866776	0.46931484527665
Arachidicoccus sp. B3-10	0.432268386321203	0.999988768866776	0.517613079433999
Arachidicoccus sp. BS20	0.986932634336886	0.999988768866776	0.597404253368297
Arachidicoccus sp. KIS59-12	0.445029981614555	0.999988768866776	0.86517487286756
Arcanobacterium haemolyticum	0.478606689909661	0.999988768866776	0.451446546686623
Arcanobacterium phocae	0.261305325576538	0.999988768866776	0.150245009490385
Archaeoglobus fulgidus	0.98537773718956	0.999988768866776	0.649498027001365
Archaeoglobus sulfaticallidus	0.939987053239406	0.999988768866776	0.892197808914693
Archangium gephyra	0.0529023009111202	0.999988768866776	0.01971622327767
Arcobacter anaerophilus	0.65452692431847	0.999988768866776	0.426069652876227
Arcobacter butzleri	0.85440852172115	0.999988768866776	0.960963772806112
Arcobacter canalis	0.555733928220953	0.999988768866776	0.600717556272046
Arcobacter cibarius	0.532920145463435	0.999988768866776	0.447391187772164
Arcobacter cryaerophilus	0.986603636017139	0.999988768866776	0.996944828834049
Arcobacter ellisii	0.631795354206489	0.999988768866776	0.850561911550999
Arcobacter halophilus	0.565774943305543	0.999988768866776	0.473400363410275
Arcobacter marinus	0.390376291268611	0.999988768866776	0.528806243126542
Arcobacter molluscorum	0.723232580642838	0.999988768866776	0.751556597532214
Arcobacter mytili	0.766140812662262	0.999988768866776	0.692922741573301
Arcobacter nitrofigilis	0.996852755039778	0.999988768866776	0.794909357729983
Arcobacter pacificus	0.762015740378411	0.999988768866776	0.528415581009169
Arcobacter peruensis	0.873754621689444	0.999988768866776	0.821837126600676
Arcobacter skirrowii	0.649726571275181	0.999988768866776	0.669306602259347
Arcobacter sp. L	0.847784956686622	0.999988768866776	0.892197808914693
Arcobacter sp. LPB0137	0.822283346106753	0.999988768866776	0.83837363276086
Arcobacter suis	0.307025555958824	0.999988768866776	0.294850958133261
Arcobacter thereius	0.802574394702168	0.999988768866776	0.907260584716501
Arcobacter trophiarum	0.581208654415297	0.999988768866776	0.439208875341948
Arcticibacterium luteifluviistationis	0.954810468798851	0.999988768866776	0.807892775568155
Arenibacter algicola	0.91195081719321	0.999988768866776	0.848128533031697
Arenimonas daejeonensis	0.962487030542451	0.999988768866776	0.954995350648017
Armatimonadetes bacterium Uphvl-Ar1	0.364982298758287	0.999988768866776	0.128512184552825
Armatimonadetes bacterium Uphvl-Ar2	0.0628188843043235	0.999988768866776	0.0122351331027251
Aromatoleum aromaticum	0.176599908175758	0.999988768866776	0.0499414369087771
Arsenicicoccus sp. oral taxon 190	0.0623827804470639	0.999988768866776	0.0221755915863481
