Pathways	t.non-ED.T1.All	p.vals.non-ED.T1.All	adj.p.vals.non-ED.T1.All	t.non-ED.T2.All	p.vals.non-ED.T2.All	adj.p.vals.non-ED.T2.All	t.T1.T2.All	p.vals.T1.T2.All	adj.p.vals.T1.T2.All	t.non-ED.T1.CEED	p.vals.non-ED.T1.CEED	adj.p.vals.non-ED.T1.CEED	t.non-ED.T2.CEED	p.vals.non-ED.T2.CEED	adj.p.vals.non-ED.T2.CEED	t.T1.T2.CEED	p.vals.T1.T2.CEED	adj.p.vals.T1.T2.CEED	t.non-ED.T1.ACUTE	p.vals.non-ED.T1.ACUTE	adj.p.vals.non-ED.T1.ACUTE	t.non-ED.T2.ACUTE	p.vals.non-ED.T2.ACUTE	adj.p.vals.non-ED.T2.ACUTE	t.T1.T2.ACUTE	p.vals.T1.T2.ACUTE	adj.p.vals.T1.T2.ACUTE
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	8.294608797	2.03E-14	6.62E-12	4.919703208	2.08E-06	0.000135857	-3.591241823	0.000581105	0.011157253	5.875523233	7.84E-08	1.28E-05	3.354561972	0.001226966	0.049796359	-2.449149445	0.019978052	0.127724751	5.711331846	4.36E-07	3.07E-05	3.684868234	0.000456328	0.029752612	-2.598983277	0.01275857	0.16183101
ECASYN-PWY: enterobacterial common antigen biosynthesis	-0.866346284	0.387711592	0.509653141	1.973197974	0.05105965	0.126788392	2.233398276	0.028464779	0.065494246	-0.357685203	0.721784431	0.85254248	1.91032556	0.060157847	0.153571886	1.513396836	0.139993942	0.265041666	-0.884899079	0.378881273	0.500579725	0.910792984	0.369350003	0.630491892	1.89312819	0.065083257	0.223338335
ENTBACSYN-PWY: enterobactin biosynthesis	-0.184102078	0.854143106	0.892190849	2.240385289	0.026571992	0.092592387	1.988619281	0.050343451	0.102144474	-0.041178865	0.96729134	0.973262274	2.920536682	0.004553597	0.064542285	1.571148045	0.125984857	0.247416045	-0.096613339	0.923376509	0.950558916	0.897781219	0.375200697	0.630491892	1.237756554	0.222522395	0.407541016
FAO-PWY: fatty acid &beta;-oxidation I	1.062172004	0.289513751	0.421345905	3.131904444	0.002043457	0.020591831	2.232477892	0.028528168	0.065494246	1.327545757	0.187932223	0.366861705	3.748102871	0.000301198	0.040072879	2.170137449	0.037528485	0.141559129	-0.255645944	0.798939068	0.848384808	0.9009804	0.370870214	0.630491892	1.105224724	0.275208046	0.468964939
FASYN-ELONG-PWY: fatty acid elongation -- saturated	-2.005968586	0.046564136	0.102566949	-2.126422864	0.035131973	0.102259135	-0.357436565	0.721755696	0.771480505	-1.525501591	0.130801851	0.281388745	-2.387580004	0.020642605	0.110218306	-1.164765428	0.252723939	0.362942749	-2.137946812	0.036029798	0.11403606	-1.606303189	0.112660088	0.374767232	0.836928506	0.40726015	0.598048689
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	-1.681253731	0.094745878	0.174503708	-1.868711762	0.063967253	0.146854397	-0.636654464	0.52626292	0.595700388	-1.230155782	0.222675293	0.410125115	-1.882939371	0.066155562	0.158578773	-0.793006075	0.433614871	0.543686338	-1.650789702	0.102890257	0.210957382	-1.269677922	0.208466019	0.518396698	0.242702167	0.809390101	0.889639137
FERMENTATION-PWY: mixed acid fermentation	0.544565099	0.586702887	0.676005811	0.866366641	0.387594366	0.519982565	-0.008783354	0.993015003	0.993015003	0.430932358	0.667732303	0.829238407	1.898140895	0.061837136	0.153571886	1.412893453	0.167340287	0.287120703	-0.085682715	0.931976364	0.952427256	-0.572812826	0.568628179	0.751036963	-1.09291633	0.280515838	0.468964939
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	3.277152294	0.001269286	0.004756177	2.763492952	0.006338297	0.040956545	-0.756006606	0.451982201	0.539563256	2.187852987	0.03094997	0.095185757	1.342028266	0.183124988	0.317546521	-0.840607729	0.406805179	0.520709127	1.810474221	0.07648418	0.18068002	1.858964072	0.06864571	0.269620498	-0.325576408	0.746323909	0.853689805
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	-0.763856135	0.446160514	0.551857478	2.162304257	0.032233321	0.096404243	2.52200926	0.01376089	0.041925704	-0.138911078	0.889850679	0.935778456	2.747785531	0.007310003	0.072213972	2.541286788	0.016090836	0.125575516	-0.96032471	0.339852243	0.471454601	0.52106053	0.604865192	0.764287025	1.243111442	0.220562417	0.406233603
FUCCAT-PWY: fucose degradation	0.735370857	0.463171385	0.563409968	2.565808194	0.011195103	0.052137195	1.267318518	0.208910932	0.302688729	0.13010417	0.896873632	0.937117961	2.152962886	0.034668896	0.121527527	2.1188621	0.041958021	0.150311151	0.891113532	0.37577198	0.500579725	1.700765228	0.094251906	0.333979581	0.082954834	0.934272427	0.957634438
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	6.621138994	3.68E-10	9.24E-09	2.940093066	0.003831322	0.028386612	-2.663571456	0.009434902	0.032564961	4.487863208	1.94E-05	0.000263812	1.521076865	0.133362624	0.259644298	-1.729113797	0.093426526	0.212986347	5.380984628	1.74E-06	7.11E-05	3.109092946	0.002696088	0.054932783	-2.044351221	0.047072688	0.184887906
GALACTARDEG-PWY: D-galactarate degradation I	-1.707260163	0.089999646	0.168620025	1.06843954	0.287019843	0.417716379	2.302261815	0.024059498	0.059873255	-0.902922761	0.371118554	0.611033578	1.923238017	0.058366208	0.153571886	1.648004123	0.109137599	0.233482923	-2.318069678	0.023787204	0.082496047	-0.743792315	0.459694036	0.688213515	1.658819392	0.104430025	0.254061104
GALACTUROCAT-PWY: D-galacturonate degradation I	6.465410155	8.92E-10	1.94E-08	2.672727065	0.008387229	0.044823554	-2.753538299	0.007371369	0.028607933	4.53235644	1.60E-05	0.000263812	1.282818909	0.204670343	0.340421081	-1.779628403	0.084636466	0.201934887	5.132726036	5.14E-06	0.000167402	2.953720527	0.004283068	0.068145277	-2.117634322	0.040027304	0.173657568
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation"	5.362020414	2.38E-07	2.78E-06	2.740124999	0.006930058	0.040956545	-2.18856533	0.031700223	0.071270846	3.977629693	0.000133605	0.001381801	1.324647393	0.19042198	0.325013432	-1.329393198	0.193118483	0.314783128	4.348226762	5.36E-05	0.000759254	2.926501915	0.004598761	0.068145277	-1.72983062	0.090833531	0.242525814
GLUCARDEG-PWY: D-glucarate degradation I	-1.639454782	0.103367437	0.187209913	1.126240116	0.261806709	0.392758234	2.271353091	0.025956225	0.063012094	-0.932944228	0.355732941	0.600875331	1.99204002	0.050052484	0.145688481	1.62076891	0.114881202	0.236146481	-2.561030155	0.012793127	0.05160838	-0.759297985	0.450533154	0.686326206	1.827212986	0.074613342	0.233045794
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	-1.707260163	0.089999646	0.168620025	1.06843954	0.287019843	0.417716379	2.302261815	0.024059498	0.059873255	-0.902922761	0.371118554	0.611033578	1.923238017	0.058366208	0.153571886	1.648004123	0.109137599	0.233482923	-2.318069678	0.023787204	0.082496047	-0.743792315	0.459694036	0.688213515	1.658819392	0.104430025	0.254061104
GLUCONEO-PWY: gluconeogenesis I	-1.971843028	0.05027675	0.108889391	0.327437097	0.743742122	0.824693646	2.792135167	0.006619946	0.027415035	-1.583781599	0.118818287	0.261721362	-0.426281128	0.671162093	0.784225241	1.437598446	0.160255654	0.28087819	-1.748519789	0.084134884	0.193154733	0.325417639	0.745823748	0.862000368	2.497523818	0.016412573	0.16183101
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	-0.247989663	0.804428918	0.859815828	2.761963162	0.006738802	0.040956545	2.757767263	0.007285388	0.028607933	0.4085138	0.683873718	0.831810544	2.699984669	0.008683833	0.074675485	1.851123371	0.073400599	0.185780705	-0.951842614	0.344106786	0.473853993	1.304820484	0.199930535	0.518396698	2.149103929	0.037297674	0.173657568
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation	7.005359793	4.33E-11	2.35E-09	3.136818923	0.002084449	0.020591831	-2.662670245	0.009458001	0.032564961	4.859129967	4.53E-06	0.000147798	1.492076253	0.140904061	0.265518635	-2.05538347	0.048079263	0.158321613	5.491874973	1.24E-06	5.78E-05	3.294716288	0.001534875	0.04169744	-1.833359856	0.073677304	0.233045794
GLUDEG-I-PWY: GABA shunt	-1.249557464	0.213497865	0.334616847	1.020571632	0.308900903	0.432091506	2.037917647	0.045038224	0.094725555	-0.147277076	0.883240698	0.933041697	1.485208296	0.140857558	0.265518635	1.3096591	0.199636377	0.32059832	-1.373295068	0.173651559	0.309346493	0.152259255	0.879428546	0.925384411	1.589383384	0.119300401	0.262264761
GLUTORN-PWY: L-ornithine biosynthesis	-0.433445983	0.665196202	0.752965145	-0.117313134	0.906774393	0.947365807	0.051258555	0.959253978	0.968163457	-0.04414766	0.96489682	0.973262274	-0.067204822	0.94669165	0.973569331	0.085287246	0.932564415	0.953028211	-1.731658332	0.087111868	0.195700316	-1.256118463	0.213145092	0.518396698	-0.024584598	0.980500043	0.986552512
GLYCOCAT-PWY: glycogen degradation I (bacterial)	-0.324709314	0.745760504	0.810553375	0.497890596	0.61919119	0.726101899	1.378555976	0.172076168	0.262134723	-0.301777914	0.763717494	0.864485774	0.894787278	0.373251528	0.518757955	1.729702172	0.093319885	0.212986347	-1.35779947	0.178464637	0.312792859	-0.929741356	0.355724618	0.630409249	0.334500401	0.739628133	0.852407222
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	6.013471615	1.04E-08	1.69E-07	2.011922539	0.045810959	0.118526768	-3.396555459	0.001088287	0.016346647	4.308094658	3.96E-05	0.000478614	0.831295053	0.408702274	0.551253261	-2.601497878	0.013940284	0.125575516	3.223704314	0.002486093	0.018010366	1.327691967	0.189766504	0.507080986	-2.189287755	0.03405144	0.173657568
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	-0.831198942	0.407423225	0.525491276	2.290431453	0.023910235	0.089134603	2.714928936	0.008200359	0.029706017	-0.124894682	0.900943036	0.938362396	2.296528434	0.02463457	0.117740913	1.819862392	0.078146084	0.192997148	-0.87272641	0.385575746	0.503859362	0.945363614	0.35177052	0.630094448	2.094023046	0.042188994	0.174096357
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	-1.717249185	0.087693386	0.166209558	1.386566588	0.167352115	0.281220565	3.434019546	0.000966106	0.01574752	-1.280895403	0.204322109	0.38952636	1.041044252	0.30093794	0.441917876	2.202248642	0.034971349	0.141559129	-1.769454796	0.080562508	0.187595554	0.275753513	0.783724854	0.890224051	2.62154162	0.012054782	0.16183101
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"	-0.771826276	0.441348008	0.549518505	2.614759043	0.010004428	0.04867826	3.085152687	0.00283701	0.019415138	-0.378268749	0.706395841	0.846636192	2.80217343	0.006456107	0.06789325	2.305552702	0.027769023	0.141559129	-0.789737688	0.431965356	0.546659658	1.035931819	0.306931596	0.594205432	2.067074752	0.044780514	0.178476693
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	-4.185993291	4.76E-05	0.0002629	-1.756062408	0.081150968	0.172909906	2.252711078	0.027162892	0.063705775	-2.756858658	0.007539691	0.03064606	-0.765714245	0.447013941	0.592384328	1.695843888	0.099625273	0.222450953	-4.136768423	9.23E-05	0.001157145	-2.683829137	0.009122623	0.084003684	1.591993046	0.118711968	0.262264761
GLYOXYLATE-BYPASS: glyoxylate cycle	-1.004672689	0.316791974	0.454952351	2.533062317	0.012646623	0.056476698	3.271793464	0.001608602	0.018067273	-0.551694202	0.582897244	0.786197685	2.654880324	0.009782691	0.07778432	2.449075736	0.019981479	0.127724751	-0.886054732	0.378230594	0.500579725	1.030901435	0.310172922	0.594205432	2.168729494	0.035679622	0.173657568
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol"	1.90254269	0.058756514	0.122786049	0.632952512	0.527706678	0.646738259	-1.343698091	0.183044118	0.274582752	0.578026351	0.565655889	0.781372118	1.116379336	0.268120803	0.410363295	0.409333089	0.685022273	0.746880471	1.360279277	0.178287983	0.312792859	-0.713089629	0.478125625	0.693602693	-2.29519297	0.026663221	0.173053545
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	-1.532243089	0.128334969	0.226147026	1.18674556	0.23756814	0.365317046	1.981494595	0.051152713	0.102305425	-0.609169361	0.545337646	0.763078017	1.756480715	0.083296783	0.189893364	1.283271216	0.208613184	0.325396641	-1.710038332	0.09295296	0.198608973	-1.022909548	0.310441005	0.594205432	1.619069145	0.112744794	0.255241686
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)	-2.505873943	0.013319016	0.036796603	-1.520723952	0.130590254	0.241888766	1.48575518	0.141480437	0.224988403	-1.441242567	0.155032093	0.321913772	-0.665506766	0.508848901	0.642964115	1.106159039	0.276904577	0.388107102	-2.974814596	0.004035804	0.024301662	-2.668147446	0.009593133	0.084523281	1.063669497	0.293415445	0.485550432
HEMESYN2-PWY: heme biosynthesis II (anaerobic)	-2.188503811	0.030347337	0.069614936	-0.140229755	0.888668472	0.937559617	1.550690082	0.12513047	0.201943233	-1.531430448	0.13119966	0.281388745	0.584097836	0.561508451	0.693377861	2.013199893	0.052569594	0.161676298	-1.405166955	0.163821089	0.299543764	-0.323032507	0.74765942	0.862000368	0.376446997	0.708435795	0.832354845
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	-2.403975514	0.0173453	0.044877521	-0.40521618	0.685918357	0.774791439	2.346330467	0.021567299	0.055906475	-1.694558996	0.094761654	0.221568355	-0.752431306	0.455084568	0.598464803	0.978738024	0.335051304	0.447063812	-1.906498984	0.060114959	0.154310841	-0.17495848	0.861611098	0.914028285	2.28614624	0.027233173	0.173053545
HISDEG-PWY: L-histidine degradation I	-2.704055781	0.007511987	0.02343419	-1.568724012	0.119362784	0.234867559	0.475025488	0.636131115	0.700851789	-1.97990179	0.051120481	0.134397393	-1.719268005	0.093439099	0.204437223	-0.846950965	0.403312377	0.519683142	-2.545646502	0.012822941	0.05160838	-0.81168165	0.41968971	0.670680615	1.990144448	0.052956988	0.19618157
HISTSYN-PWY: L-histidine biosynthesis	4.462876845	1.50E-05	0.000105965	3.008180091	0.003029998	0.025327675	-2.777745295	0.006891478	0.027415035	4.482104152	1.92E-05	0.000263812	2.259893992	0.026130441	0.117740913	-2.802547077	0.008538365	0.125575516	2.074202594	0.043151984	0.125674399	1.704205142	0.094156393	0.333979581	-1.262187164	0.213684533	0.398063758
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	4.906110813	2.00E-06	1.86E-05	3.444391436	0.00074015	0.010053704	-1.215154081	0.228068928	0.323140847	4.777893428	6.05E-06	0.000164259	3.107168598	0.002682955	0.049796359	-1.233366244	0.226422418	0.343319574	2.69301538	0.009242756	0.040030736	2.097432851	0.039586207	0.189534355	-0.64532427	0.522145728	0.709247947
HSERMETANA-PWY: L-methionine biosynthesis III	2.871319912	0.004577116	0.014486795	4.183891737	4.68E-05	0.001270963	0.734999884	0.464601589	0.550764065	1.622107125	0.108995546	0.248479356	1.689221819	0.096595629	0.207172205	-0.065600787	0.948103793	0.956618737	2.327377006	0.022800674	0.080793692	3.829926405	0.000316694	0.029752612	1.031894247	0.307890843	0.494810267
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	4.745196447	4.11E-06	3.43E-05	1.547027517	0.124030844	0.234867559	-2.79900892	0.006493734	0.027415035	3.855875315	0.00020308	0.001697544	0.439376272	0.662117399	0.782066203	-2.196389454	0.035425992	0.141559129	3.862773439	0.000231656	0.002359999	2.14734017	0.035136586	0.178976985	-1.797071743	0.079349948	0.233045794
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	-0.973310769	0.332306135	0.469510393	2.102644053	0.037794344	0.108078562	2.537195262	0.013223455	0.041242931	-0.091331328	0.927466727	0.947818662	2.090935541	0.040135213	0.130730635	1.633719581	0.112119699	0.235813045	-1.182705377	0.241415592	0.378372514	0.906267873	0.370816905	0.630491892	1.981103196	0.053998001	0.19779043
KETOGLUCONMET-PWY: ketogluconate metabolism	-0.139280691	0.889379043	0.912202029	3.407321726	0.000890691	0.011447001	3.192549282	0.002052014	0.018067273	0.462762314	0.644755468	0.814752101	3.136623049	0.002366052	0.049796359	1.905855171	0.065685819	0.176453233	-0.981102069	0.329552254	0.460993457	1.491496967	0.144320371	0.423859828	2.559790473	0.0140714	0.16183101
