Species	t.non-ED.T1.All	p.vals.non-ED.T1.All	adj.p.vals.non-ED.T1.All	t.non-ED.T2.All	p.vals.non-ED.T2.All	adj.p.vals.non-ED.T2.All	t.T1.T2.All	p.vals.T1.T2.All	adj.p.vals.T1.T2.All	t.non-ED.T1.CEED	p.vals.non-ED.T1.CEED	adj.p.vals.non-ED.T1.CEED	t.non-ED.T2.CEED	p.vals.non-ED.T2.CEED	adj.p.vals.non-ED.T2.CEED	t.T1.T2.CEED	p.vals.T1.T2.CEED	adj.p.vals.T1.T2.CEED	t.non-ED.T1.ACUTE	p.vals.non-ED.T1.ACUTE	adj.p.vals.non-ED.T1.ACUTE	t.non-ED.T2.ACUTE	p.vals.non-ED.T2.ACUTE	adj.p.vals.non-ED.T2.ACUTE	t.T1.T2.ACUTE	p.vals.T1.T2.ACUTE	adj.p.vals.T1.T2.ACUTE
Cryptococcus neoformans	0.740480661	0.459960877	0.57799289	1.743669021	0.083490987	0.157998946	0.958266452	0.340966993	0.773913743	-0.062822267	0.950049564	0.992769559	0.752136438	0.455356125	0.870512078	0.7616429	0.451850265	0.999967035	2.014642715	0.047356661	0.077323244	2.560124662	0.012585786	0.034122828	0.674759166	0.503440843	0.874960664
Cuniculiplasma divulgatum	0.914755714	0.361519757	0.487749973	1.758185298	0.080601545	0.154105051	1.068086441	0.288862454	0.75556609	-0.465042907	0.643190891	0.941632966	0.838973179	0.404278815	0.86371393	1.078260598	0.288978691	0.999967035	2.006718408	0.04869695	0.07918597	2.156159494	0.034678708	0.065648589	0.562196196	0.576901495	0.904483014
Cupriavidus basilensis	2.179701087	0.030724003	0.087080066	2.218340564	0.028155288	0.075854141	-0.52701752	0.59971642	0.876933402	-0.331446389	0.741378832	0.958238454	-0.057407482	0.954451521	0.99006778	-0.088937692	0.929685729	0.999967035	3.556572647	0.000630312	0.005543147	3.66903733	0.000465438	0.006174002	-0.533700434	0.596297092	0.907589703
Cupriavidus campinensis	2.451621991	0.015180302	0.054525115	1.581155949	0.116087115	0.199324123	-1.363499897	0.176750421	0.702463343	0.051562942	0.95900566	0.993403727	0.174453294	0.862153579	0.969830009	-0.26998237	0.788907361	0.999967035	3.69560537	0.000402112	0.004425623	2.581547652	0.011879668	0.033046643	-1.455651018	0.152751767	0.84843959
Cupriavidus gilardii	1.945315346	0.053395069	0.124850565	1.770253849	0.078821231	0.152166864	-0.804877271	0.423401341	0.799643837	0.709938503	0.48009288	0.903003978	0.462709504	0.645504112	0.918513019	-0.769984046	0.446956627	0.999967035	2.108685434	0.038061519	0.065577797	2.161376102	0.034006606	0.064706853	-0.480784434	0.633107027	0.913923968
Cupriavidus malaysiensis	2.795075727	0.005767833	0.029410657	2.157087342	0.032636172	0.083783762	-0.676359084	0.500865926	0.836230946	0.815232361	0.418038756	0.888324326	0.535779098	0.594265804	0.901181564	-0.21618047	0.830219261	0.999967035	3.052879424	0.003191083	0.012650527	2.487492606	0.015235275	0.038142802	-0.74163931	0.462337529	0.866663064
Cupriavidus metallidurans	1.728810244	0.085716993	0.174511006	1.129657378	0.260827809	0.364777452	-0.831215018	0.408456071	0.794338665	0.206042975	0.837361222	0.972403296	0.487164822	0.628512312	0.907672536	0.156386692	0.876710695	0.999967035	3.04125396	0.003163247	0.012599116	2.10350828	0.039055966	0.071735975	-1.073324043	0.289112384	0.850407114
Cupriavidus nantongensis	1.991146356	0.047946556	0.116356324	2.764230304	0.006394606	0.029741606	0.810943096	0.419930671	0.799643837	0.095385857	0.924250628	0.986364246	1.19413951	0.237594259	0.781389877	1.161447863	0.25405028	0.999967035	2.37574769	0.020456029	0.041814861	2.627203222	0.010829376	0.031170209	0.117378478	0.907106699	0.982106285
Cupriavidus necator	2.797520491	0.005724887	0.029245331	2.0939484	0.037863675	0.092719522	-1.26363385	0.210223885	0.718884133	0.483141704	0.630352807	0.939291646	0.467814811	0.641558997	0.91571261	-0.522808709	0.604708677	0.999967035	4.068988553	0.000108636	0.002799748	3.366701399	0.001226066	0.009557465	-1.147907026	0.25735331	0.850407114
Cupriavidus oxalaticus	1.911974735	0.057683841	0.131720127	1.693208814	0.092645255	0.170617073	-0.830939063	0.408610982	0.794338665	-0.314315471	0.754259484	0.959363476	0.084939496	0.932640256	0.986100993	0.018867108	0.98506427	0.999967035	2.879239549	0.00508776	0.016683052	2.558117936	0.012642447	0.034234197	-1.002090816	0.321905757	0.853998896
Cupriavidus pauculus	3.254335782	0.001405872	0.01207176	3.177086188	0.001849971	0.013546958	-0.767783167	0.444994968	0.808227907	0.35710034	0.722245112	0.958209274	0.699516963	0.487498223	0.878726968	0.184484622	0.854797494	0.999967035	4.412111037	3.12E-05	0.002085668	4.303552022	5.24E-05	0.002552479	-0.945916318	0.349476668	0.853998896
Cupriavidus pinatubonensis	2.700549641	0.007652154	0.035062385	2.327598784	0.021330517	0.063670791	-0.976650161	0.331840934	0.770311244	0.582655512	0.561954486	0.924613094	0.701153171	0.485942349	0.878726968	-0.295004437	0.76989605	0.999967035	3.723606671	0.000359653	0.004243789	3.271119598	0.001652433	0.011118911	-0.961961052	0.341447727	0.853998896
Cupriavidus sp. USMAA2-4	1.451462422	0.148339729	0.255412705	2.198840977	0.029322834	0.077830139	0.422365379	0.673950872	0.905443303	0.427127892	0.670443933	0.942203484	0.990754995	0.326050771	0.825530735	0.355006041	0.724914278	0.999967035	1.359494566	0.178894911	0.224193442	1.850817571	0.069253652	0.109474346	0.255547373	0.799518826	0.958525806
Cupriavidus taiwanensis	2.531654985	0.012353236	0.047091417	2.162255111	0.032363556	0.083353403	-1.198697404	0.234370004	0.730653319	0.523237058	0.602588714	0.93732681	0.629501101	0.531831584	0.884816851	-0.34932682	0.729132382	0.999967035	3.177360271	0.002098954	0.010091685	2.789249305	0.006763867	0.023729974	-1.179351126	0.244742609	0.850407114
Curtobacterium flaccumfaciens	1.781627373	0.076651197	0.161312894	1.843704441	0.067303187	0.136613334	-0.336889521	0.737128733	0.927230818	-0.008372271	0.993346007	0.999440343	0.958825622	0.341802795	0.8336109	0.714255831	0.480247064	0.999967035	2.991028006	0.003688567	0.013713081	2.451257018	0.016666478	0.040181721	-0.888173101	0.37938909	0.854975985
Curtobacterium pusillum	1.49545399	0.136671144	0.242457139	2.240863799	0.026627915	0.073157662	0.501709734	0.617322055	0.884341573	0.435236073	0.664632265	0.941632966	0.177230328	0.859947522	0.969830009	-1.066310698	0.29426257	0.999967035	1.617972805	0.109509238	0.150136246	2.785987154	0.006839587	0.023893415	1.234756851	0.223625962	0.850407114
Curtobacterium sp. BH-2-1-1	-0.078587544	0.937446898	0.958662348	0.752274699	0.453036935	0.55218844	0.363725713	0.717072715	0.922124687	-0.669508612	0.505085241	0.909972048	0.606303822	0.546260308	0.889178654	1.102513911	0.278461389	0.999967035	0.567322169	0.572051118	0.612494724	0.687466315	0.494053504	0.537472965	-0.177761154	0.85974533	0.97222066
Curtobacterium sp. MR_MD2014	2.509669978	0.013001955	0.048794643	1.322125469	0.188135844	0.28391502	-1.496648142	0.138626394	0.684292378	0.629481377	0.530933706	0.921186732	0.989209707	0.326171045	0.825530735	-0.096528567	0.923702812	0.999967035	2.952700477	0.004148013	0.014677798	1.405237535	0.164270045	0.211590477	-1.581958808	0.12098746	0.84843959
Curtobacterium sp. SGAir0471	1.593346371	0.113019996	0.212146281	2.868076961	0.004788971	0.024396976	0.717591587	0.475209079	0.822869969	-0.009414486	0.992515098	0.999440343	0.878026193	0.383954891	0.857730856	0.918165728	0.365401172	0.999967035	2.83288256	0.005809353	0.018116912	3.888346984	0.000225796	0.004372039	0.275359264	0.784359143	0.953345867
Curvibacter sp. AEP1-3	1.444363184	0.150403079	0.257688136	3.182945852	0.00176918	0.013272184	1.109673928	0.270638433	0.747399242	-0.44990302	0.654128617	0.941632966	0.796860046	0.428894902	0.866994591	1.005476578	0.322210393	0.999967035	2.745698403	0.007577717	0.021480088	4.021538481	0.000147298	0.003516117	0.669808591	0.506560949	0.876818983
Cutibacterium acnes	-0.463093259	0.643996538	0.738333262	0.037559234	0.97009611	0.976374215	0.069903789	0.944453846	0.984584983	-0.778848768	0.438855235	0.890069634	0.36843723	0.714140795	0.937014764	0.673905182	0.50521074	0.999967035	0.531641023	0.596532811	0.635524126	0.49782673	0.620173512	0.65394126	-0.330766871	0.742426994	0.945556652
Cutibacterium avidum	1.97402884	0.050030907	0.119345659	0.63703653	0.525123741	0.615097524	-2.074851155	0.041385379	0.6138052	0.383781941	0.702281011	0.950627827	-0.439433867	0.662066253	0.924918005	-1.378124174	0.177725668	0.999967035	2.648678405	0.00970685	0.025118746	1.712873306	0.09104295	0.134186348	-1.60182349	0.116516493	0.84843959
Cutibacterium granulosum	1.071315928	0.285603762	0.411986947	0.706698502	0.4808682	0.576508501	-0.845573062	0.400445299	0.789729724	-0.296640861	0.767753412	0.959596478	0.515883331	0.608067302	0.903649975	0.703597815	0.486771666	0.999967035	2.235046226	0.028296433	0.052652017	1.387737379	0.169737382	0.216973406	-1.427397758	0.160687466	0.84843959
Cyanobacterium aponinum	1.848986046	0.066040834	0.144851995	1.523498967	0.129748691	0.216105252	0.115562169	0.908304344	0.979279374	0.662935515	0.509226464	0.910099241	1.040388118	0.302096737	0.816980795	0.246375366	0.806965288	0.999967035	1.582807765	0.118814836	0.160948769	1.114248504	0.269117502	0.319196559	-0.021896915	0.982631483	0.995603788
Cyanobium gracile	2.114570629	0.036066136	0.0966051	1.628934298	0.105471972	0.186743798	-1.358178504	0.178425361	0.702463343	0.22238686	0.824755446	0.969628793	0.28132488	0.779634903	0.957615644	-0.384595545	0.703081282	0.999967035	2.699215384	0.008445388	0.023100131	2.301879218	0.0244577	0.051219253	-1.343640795	0.186112374	0.84843959
Cyanobium sp. NIES-981	1.102863462	0.271874322	0.397409761	0.241819705	0.809313788	0.850958387	-1.755378188	0.083224152	0.658891444	-0.441003473	0.661012168	0.941632966	-0.342230749	0.733867962	0.942212551	-0.395032707	0.695439737	0.999967035	2.66964424	0.009152451	0.024200438	1.723645357	0.089063778	0.132145349	-1.911293634	0.062647026	0.84843959
Cyanothece sp. PCC 7425	-1.41529142	0.158644771	0.266630673	-1.620203747	0.107037733	0.18850308	-1.007652961	0.316818562	0.768521658	-2.397564202	0.018546575	0.482316811	-2.163057363	0.033541278	0.50846225	-0.41316822	0.68223901	0.999967035	0.639817197	0.524196474	0.566715426	0.350730794	0.726863581	0.754177185	-0.935518097	0.354745776	0.853998896
Cyclobacterium amurskyense	2.467741466	0.014492577	0.052699085	2.735416275	0.006968466	0.031460463	0.504666185	0.615253486	0.883366334	0.815923415	0.416934013	0.888324326	0.352867662	0.725329634	0.939936485	-0.606022487	0.548774837	0.999967035	2.237975789	0.029126186	0.053853408	2.852502564	0.005806388	0.02164447	0.932041578	0.356518962	0.853998896
Cyclobacterium marinum	0.863984438	0.388766796	0.512272605	1.394183772	0.165178144	0.258535659	0.16758879	0.867351936	0.967177481	-0.074565269	0.940775509	0.99102174	0.755507878	0.452359217	0.870512078	-0.063417097	0.949828864	0.999967035	1.66525467	0.099763628	0.138864574	1.702216203	0.093036938	0.13625805	0.237722105	0.813225734	0.962769524
Cylindrospermum stagnale	1.887807344	0.060647448	0.135973584	2.081341592	0.039002898	0.094169463	0.367672544	0.71413937	0.921138691	-0.59368098	0.554110296	0.924613094	1.011062152	0.315709787	0.820029362	2.055382158	0.048079397	0.999967035	2.717535938	0.00815205	0.022609329	2.126633233	0.037077284	0.069037033	-0.848786558	0.400700707	0.859063901
Cystobacter fuscus	2.093515546	0.037889254	0.099427986	1.494361511	0.137354666	0.22539629	-1.04985829	0.297110282	0.761867404	-0.243332259	0.808458815	0.968214406	0.008825087	0.992992049	0.998258024	-0.117273552	0.907376267	0.999967035	3.113297124	0.002548244	0.011155655	2.421745695	0.017970106	0.041909154	-1.120934154	0.268537243	0.850407114
Cytophagales bacterium TFI 002	-0.927862842	0.354730543	0.480056576	0.296785855	0.767053488	0.815783254	1.35266583	0.180173182	0.702463343	-1.265395226	0.209493711	0.818634077	-0.248452907	0.804668393	0.960349352	0.807746182	0.425200685	0.999967035	0.01684383	0.986603665	0.989273529	0.815094874	0.417706117	0.463395329	1.074996367	0.288371518	0.850407114
Dactylococcopsis salina	-0.682520093	0.495754646	0.611089892	-0.305825388	0.760141794	0.809982379	0.664896357	0.508129405	0.839438326	-1.547751885	0.125481981	0.746711834	0.138489275	0.890297345	0.975074329	1.311321507	0.199080895	0.999967035	-0.011119329	0.991162784	0.992591487	-0.569644634	0.570823428	0.608717692	-0.015955944	0.987343345	0.995603788
Debaryomyces hansenii	1.124534746	0.262220407	0.387097217	1.403858838	0.162331068	0.255229442	0.40728648	0.6849425	0.907395431	-0.222296406	0.824656448	0.969628793	-0.342818123	0.732902617	0.94219923	-0.164524462	0.87035316	0.999967035	2.242241334	0.028484894	0.052914117	2.611251407	0.011116581	0.031701365	0.667048667	0.508304953	0.877726093
Dechloromonas aromatica	1.244058282	0.215338939	0.335535134	-0.258484088	0.796421616	0.839527479	-1.489825383	0.140408669	0.684292378	-0.333222025	0.74009736	0.958238454	-0.95630072	0.342787368	0.833790894	-1.102801456	0.278338354	0.999967035	2.789248209	0.006599799	0.01954272	1.299643057	0.198164502	0.246012576	-1.129896907	0.264783227	0.850407114
Dechloromonas sp. HYN0024	2.180634268	0.030599892	0.0868651	1.978769633	0.049560405	0.110758637	-0.784700221	0.435068538	0.803667717	0.13728149	0.891201722	0.982783152	0.435978605	0.664294968	0.925199086	0.068490846	0.945821099	0.999967035	2.894752707	0.004913116	0.016312484	2.562927045	0.012651501	0.034234197	-0.927267072	0.35896359	0.853998896
Deferribacter desulfuricans	2.573229284	0.010845472	0.043335105	3.907015049	0.000136314	0.002936164	1.572312226	0.120032303	0.672129934	0.421068323	0.674831556	0.942952368	2.543181998	0.013876182	0.396922665	2.203240643	0.034894893	0.999967035	2.748892865	0.008099005	0.022497817	2.899856473	0.005467013	0.020980245	0.124054954	0.901849864	0.980340611
Defluviimonas alba	2.570050869	0.011095584	0.043986629	2.395914676	0.017889002	0.057605487	-0.496011282	0.621317882	0.885684736	0.401735462	0.689114556	0.947236843	0.874237911	0.38618973	0.859405841	0.310652829	0.75807906	0.999967035	3.345674699	0.001240161	0.00763324	3.052008821	0.003191931	0.015682232	-0.908603932	0.368623775	0.854019841
Defluviitoga tunisiensis	1.766075983	0.07899802	0.164754595	1.561203768	0.120482876	0.204721438	-0.449270164	0.65451538	0.898290637	0.518117917	0.60560723	0.93732681	0.044753078	0.964450797	0.993452676	-0.593861342	0.556779998	0.999967035	2.333710189	0.022886399	0.045219554	2.423941076	0.018043968	0.041954885	-0.07987011	0.93671113	0.985729142
Dehalobacter restrictus	1.848775169	0.066079177	0.144878922	1.282956731	0.201370209	0.299015662	-0.931840996	0.354369521	0.782202462	0.458735104	0.647755484	0.941632966	0.544122488	0.588215822	0.900223545	-0.31799056	0.752558051	0.999967035	2.224367907	0.029424335	0.054206315	1.479659059	0.143485295	0.190559443	-0.893361469	0.376636465	0.854975985
Dehalobacter sp. CF	1.364555422	0.174056781	0.286809246	1.198289106	0.232592922	0.334805995	-0.274365471	0.784548168	0.944351246	-0.936948684	0.35123807	0.87444937	-0.36857251	0.713587867	0.937000566	0.199888818	0.8428324	0.999967035	2.726434651	0.007976236	0.022288547	2.304716372	0.024155957	0.050855609	-0.454557605	0.651714031	0.921380555
Dehalobacterium formicoaceticum	0.888199558	0.375584652	0.499043629	0.233959783	0.815299049	0.856279689	-1.197878066	0.234686974	0.73073894	-0.567500531	0.57190658	0.926422301	-0.347046432	0.729496297	0.941602512	-0.106114691	0.916153793	0.999967035	2.010391801	0.048060592	0.078311571	1.140720534	0.258058294	0.30725964	-1.303350841	0.19939072	0.850407114
Dehalococcoides mccartyi	0.808495694	0.419915189	0.540752692	1.227150662	0.221603719	0.322343228	-0.025344459	0.979846642	0.99433771	-1.462926106	0.148101544	0.780235434	-0.198938046	0.842910568	0.969830009	1.080352089	0.288060825	0.999967035	3.148730266	0.002299699	0.010537287	2.720792045	0.008160981	0.026340728	-0.766188871	0.447749782	0.866663064
Dehalogenimonas formicexedens	0.847049506	0.398076039	0.520344926	1.188287694	0.236546023	0.338933436	-0.362791271	0.717767832	0.922180677	-0.058355903	0.953615831	0.992836288	0.822302838	0.413657235	0.864492082	0.434404471	0.666910004	0.999967035	1.753609483	0.083742373	0.120768062	1.560208583	0.123153043	0.16944511	-0.625976852	0.53463895	0.885421315
Dehalogenimonas lykanthroporepellens	2.356317052	0.019885988	0.06505375	1.465720625	0.145204756	0.234470667	-1.537202055	0.128396958	0.681538193	-0.050105312	0.960202252	0.993403727	-0.396105283	0.693565291	0.930445544	-0.791051952	0.43473788	0.999967035	2.804910726	0.006308118	0.019013296	2.089558828	0.040220799	0.073078522	-1.31633823	0.195034334	0.84843959
Deinococcus actinosclerus	2.438994615	0.015767178	0.055889014	2.193163247	0.029798635	0.078605036	-0.956021768	0.342092428	0.774232826	0.360915868	0.719136151	0.956816246	0.568489815	0.57180597	0.897668391	-0.344611291	0.73264127	0.999967035	2.94611596	0.004202774	0.014757391	2.663598688	0.009594377	0.029192087	-0.892298773	0.377199224	0.854975985
Deinococcus deserti	0.553830917	0.580428016	0.685511881	1.355782378	0.177134588	0.272061219	0.378162869	0.706363818	0.916640229	-1.649429196	0.102935751	0.705717369	-0.576119961	0.566340363	0.897458423	0.65352918	0.518083995	0.999967035	2.581942564	0.011604266	0.028480287	3.064813556	0.003065235	0.015334453	0.048590998	0.961470241	0.991329569
Deinococcus ficus	2.325792383	0.021304788	0.068041268	1.873827357	0.063140901	0.130266194	-1.136906297	0.259149422	0.741563712	0.333054189	0.74009022	0.958238454	0.483831989	0.63062666	0.908978988	-0.390527335	0.698734419	0.999967035	2.99398241	0.003640021	0.013676147	2.509742518	0.014339819	0.036559961	-1.077816766	0.287125041	0.850407114
Deinococcus geothermalis	2.06223507	0.040737	0.104339284	2.253335384	0.025715896	0.071536012	-0.363191668	0.717469953	0.922124687	0.482937627	0.630535311	0.939291646	1.062742082	0.292525401	0.813210284	0.636006325	0.529295251	0.999967035	2.741795141	0.007500262	0.021353936	2.699642953	0.008649267	0.027397959	-0.804236211	0.425684695	0.86474983
Deinococcus gobiensis	3.93711226	0.000122216	0.002703829	3.524380012	0.000584792	0.00694793	-0.806225659	0.42262836	0.799643837	1.747375706	0.085298421	0.688860986	1.522221676	0.134459619	0.69193174	-0.266545942	0.791528906	0.999967035	3.778112984	0.000302364	0.003991775	3.5007521	0.000800648	0.00796065	-0.772921417	0.443796993	0.866663064
Deinococcus irradiatisoli	1.70209686	0.090730509	0.181938785	1.534085727	0.127317422	0.213205855	-0.692935979	0.490461852	0.831093589	-0.1116996	0.911434449	0.984788622	-0.228701803	0.820070559	0.964645962	-0.641895575	0.525512889	0.999967035	2.905650497	0.004712644	0.015893736	3.002462395	0.003685312	0.016844545	-0.426602046	0.671797481	0.923889282
Deinococcus maricopensis	2.550938503	0.011590486	0.045238708	1.432960018	0.153921869	0.244922458	-2.03137727	0.045713193	0.618773343	0.561051488	0.576459953	0.928699421	0.110858103	0.912099915	0.979414862	-1.077762623	0.289197535	0.999967035	2.910146804	0.004755606	0.015947651	1.975671295	0.052160783	0.088793149	-1.723244099	0.092029358	0.84843959
Deinococcus metallilatus	1.952047122	0.05267582	0.123793744	1.11458963	0.267244326	0.371428848	-1.157715192	0.250605725	0.737356601	0.450698048	0.653918955	0.941632966	0.932469793	0.356286643	0.840001468	0.147593501	0.883589637	0.999967035	2.832123658	0.005831854	0.018144774	1.354897543	0.179773617	0.227396851	-1.425985543	0.161092437	0.84843959
Deinococcus peraridilitoris	-1.076659767	0.283288565	0.409071926	-0.815186976	0.416444647	0.518271238	-0.23371426	0.81583521	0.95304246	-1.483257802	0.143579632	0.7699214	-0.463504523	0.645058199	0.918513019	0.917530821	0.365728548	0.999967035	0.199727077	0.84218855	0.861089764	-0.300064466	0.765014899	0.789005903	-0.698817492	0.488428776	0.870787561
Deinococcus proteolyticus	3.528146963	0.000538466	0.006842029	2.923387662	0.004008664	0.022037739	-1.518425733	0.133056264	0.684292378	0.424132663	0.672725451	0.942952368	0.929673068	0.356606179	0.840001468	0.142170993	0.887836305	0.999967035	4.787699524	7.47E-06	0.001386486	3.832693528	0.000269236	0.004604344	-1.841047768	0.072520605	0.84843959
Deinococcus puniceus	2.766505524	0.006294092	0.030958022	3.03532381	0.002829848	0.017812338	-0.684707471	0.495611408	0.834702961	0.795397275	0.429354033	0.889392368	0.985794308	0.328013688	0.826030617	-0.591276961	0.558488836	0.999967035	2.938851042	0.004412911	0.015215235	3.105737126	0.002767088	0.014495266	-0.429620695	0.66961681	0.923889282
Deinococcus radiodurans	3.190302227	0.001714882	0.013674768	2.876899131	0.004671853	0.0239983	-1.09202508	0.278271796	0.751690894	1.233574252	0.222198288	0.827077199	1.315007236	0.195067209	0.758562628	-0.263516675	0.793841891	0.999967035	2.884184174	0.005042848	0.016565099	2.536325278	0.013438832	0.035244678	-1.137902919	0.261461726	0.850407114
Deinococcus soli Cha et al. 2016	1.622978062	0.10652598	0.203670931	2.426932026	0.016521327	0.054886753	0.218606565	0.827542507	0.955155598	0.214475098	0.830872792	0.972003994	0.554352549	0.581979743	0.89997314	0.248281003	0.805503438	0.999967035	2.161225661	0.033702788	0.060173497	3.032116776	0.0034132	0.016104044	0.12420787	0.901729514	0.980340611
Deinococcus sp. AJ005	3.038459277	0.002809043	0.018542352	2.744188639	0.006963995	0.031460463	-0.555293357	0.580324871	0.865659054	0.640247619	0.524339733	0.91792443	0.564023696	0.575698974	0.898297276	-0.12713891	0.899626026	0.999967035	3.501741484	0.00075109	0.006059333	3.59579699	0.000589834	0.006717821	-0.590116074	0.558201429	0.899075719
Deinococcus sp. NW-56	0.936674014	0.350380346	0.475937201	0.164320491	0.869707964	0.898148805	-1.188590918	0.238301476	0.733783715	-0.850918775	0.397689892	0.878196122	-0.16883897	0.866561565	0.969888631	0.298913772	0.766938514	0.999967035	2.116023389	0.037428682	0.064826617	0.99015177	0.325415899	0.375318856	-1.473959477	0.147776353	0.84843959
Deinococcus sp. S14-83	0.318740297	0.750295517	0.820409696	-0.409946595	0.682391106	0.747777951	-1.343480407	0.183114235	0.702463343	-1.153334287	0.25235831	0.84816343	-1.589652378	0.116789462	0.674055898	-1.037501475	0.307278826	0.999967035	1.86880746	0.065699094	0.099552078	1.435115929	0.156048925	0.203012879	-0.94984161	0.347501036	0.853998896
Deinococcus swuensis	1.474020753	0.142536898	0.248992839	1.29573337	0.197205501	0.29440456	-0.975260604	0.332525063	0.770329599	-0.079259717	0.937065098	0.98996537	0.407815816	0.685042922	0.929548071	0.069565335	0.944972539	0.999967035	2.471505821	0.015610423	0.034752943	2.105400255	0.038814785	0.071486692	-1.133171929	0.263420878	0.850407114
Deinococcus wulumuqiensis	2.944026833	0.003712547	0.022379976	2.533931419	0.012297856	0.045295882	-1.439762023	0.154041255	0.695015529	0.197530649	0.844002262	0.973149447	0.585875004	0.5602965	0.894464264	0.155480292	0.877419334	0.999967035	3.749131582	0.000333413	0.004090753	3.159289463	0.002349899	0.013300143	-1.83882342	0.072853681	0.84843959
Delftia acidovorans	2.630317571	0.00938401	0.039572329	1.686436418	0.093803514	0.171782514	-1.626929643	0.107891412	0.66788956	0.701912994	0.485147219	0.904980842	0.624086056	0.535055841	0.885862485	-0.701932354	0.48779574	0.999967035	3.177790062	0.002093224	0.010072846	2.268924673	0.026312702	0.054085059	-1.483948415	0.145116356	0.84843959
Delftia sp. Cs1-4	1.184444851	0.237770345	0.360580513	-0.127006165	0.899092301	0.921134564	-1.899372129	0.06131012	0.629416	-0.754571978	0.452534967	0.894702721	-1.785960012	0.079096111	0.623541093	-2.021997143	0.051603939	0.999967035	2.049745829	0.044076852	0.073303155	1.537138592	0.129547518	0.176476741	-1.072546102	0.289457476	0.850407114
Delftia tsuruhatensis	1.821480526	0.070213698	0.151505298	1.859296867	0.064833949	0.133090078	-0.400785528	0.689702551	0.907950445	0.047992325	0.961829019	0.993403727	0.288691084	0.773721723	0.954343669	0.118918355	0.906083444	0.999967035	2.390725775	0.019136773	0.040046003	2.432019354	0.017549311	0.041466912	-0.55428652	0.582254269	0.905324968
Denitratisoma sp. DHT3	1.484202727	0.139559864	0.245715221	1.191929651	0.234991306	0.337235708	-1.163564172	0.248240768	0.736671481	-0.829870574	0.409069536	0.882749375	0.244645023	0.807519073	0.960947521	0.698680923	0.489798513	0.999967035	3.210391485	0.001895297	0.009541721	2.456647032	0.016580921	0.04015545	-1.755295195	0.086331332	0.84843959
Denitrobacterium detoxificans	3.383771285	0.000897001	0.009318746	2.811848632	0.005582645	0.0273683	-1.642134727	0.104693858	0.66788956	1.654943286	0.103028675	0.705717369	1.064700934	0.291735767	0.812472965	-1.424269205	0.164048017	0.999967035	3.255265241	0.001683759	0.008981127	3.017653076	0.003628009	0.016766774	-1.022067123	0.312465102	0.853825485
Denitrovibrio acetiphilus	2.516576405	0.012762178	0.048187627	2.716422473	0.007381685	0.03245839	0.095125752	0.924465313	0.981027221	0.631232589	0.529620589	0.920905521	2.289850085	0.025393623	0.475707309	1.430698908	0.16220992	0.999967035	2.839641169	0.005723413	0.018005279	2.091987131	0.039984506	0.072851535	-0.912755592	0.366460483	0.853998896
Dermabacter hominis	3.224675439	0.001488926	0.012463029	3.767683145	0.000229273	0.004045398	-0.17929325	0.858184589	0.965386173	1.489888279	0.140615684	0.767722959	2.601037603	0.011715317	0.374216853	0.651267889	0.519523526	0.999967035	2.669090537	0.009735269	0.025166802	2.522661331	0.014328351	0.036547488	-0.669910926	0.506496346	0.876818983
Dermabacter jinjuensis	2.419463881	0.016517579	0.057449752	2.594726976	0.010396124	0.040491702	0.222832199	0.824263907	0.954081874	1.561529958	0.122536307	0.744815101	1.272893764	0.208214359	0.773298599	-0.556336976	0.581850387	0.999967035	1.954140111	0.055175242	0.086898269	2.29670418	0.024880546	0.05188971	0.542321495	0.590396789	0.906725728
Dermabacter vaginalis	0.629580126	0.529769548	0.643456981	0.448938991	0.654167875	0.724998016	-0.1108913	0.911994871	0.980802724	-0.22772549	0.820518482	0.969628793	0.487003719	0.628480205	0.907672536	0.969265086	0.339682359	0.999967035	1.237343995	0.220446414	0.267434673	0.637362405	0.526090437	0.566778572	-0.662757961	0.511022724	0.878885396
Dermacoccus nishinomiyaensis	0.833967109	0.405453937	0.52750772	0.583765064	0.560297123	0.64581738	-0.600318237	0.550080113	0.855674625	-1.104919472	0.273102011	0.854248311	-0.951001149	0.346005504	0.835525809	-0.43114328	0.669254798	0.999967035	3.273686807	0.001556258	0.008649682	2.958594371	0.004187466	0.018296139	-0.438633116	0.663123435	0.923596713
Dermatophilus congolensis	1.33800181	0.18263296	0.29576748	0.597947504	0.550736184	0.637972429	-1.479520209	0.143134652	0.684292378	-0.900336094	0.370579809	0.876206662	-0.966245477	0.337087501	0.829984936	-0.807623673	0.425270204	0.999967035	2.859852248	0.005375045	0.017292095	2.073223293	0.041734628	0.075238749	-1.248304704	0.218673866	0.850407114
Desulfallas gibsoniae	2.404333283	0.017311339	0.05928307	2.216962325	0.028244141	0.075946267	-0.282307138	0.778475398	0.942490142	-0.220467276	0.82623319	0.969628793	0.315211711	0.753824672	0.947470992	0.1655539	0.869549539	0.999967035	4.420063327	3.00E-05	0.002085668	3.681635379	0.000453523	0.006059327	-0.430239439	0.669170184	0.923889282
